ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID 2 Digit Course,2 Digit Course,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Detailed Occupation
"532010","Aircraft pilots & flight engineers",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3402,1431.9796039393177,129575.31363903586,50785.714103680824,1.5263956290740612,38,"aircraft-pilots-flight-engineers"
"433031","Bookkeeping, accounting, & auditing clerks",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3392,1429.8732588612252,36305.00058962264,12100.94130546863,0.23793040775644328,33,"bookkeeping-accounting-auditing-clerks"
"352010","Cooks",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3387,1428.8195305381305,18350.050191910246,5327.407698187454,0.10850289020871824,27,"cooks"
"559830","Military, rank not specified",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3363,1423.7483985046788,82565.03984537616,33988.594847480665,1.0704208719731676,37,"military-rank-not-specified"
"119051","Food service managers",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",3356,1422.2651218037734,61817.11382598332,12581.461442277781,0.3221379915295472,26,"food-service-managers"
"439XXX","Miscellaneous office & administrative support workers, including desktop publishers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3342,1419.2962933655829,49826.56552962298,14701.483425286355,0.4493069177544527,31,"miscellaneous-office-administrative-support-workers-including-desktop-publishers"
"413021","Insurance sales agents",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3340,1418.871746693005,85815.11077844311,33613.41298329204,0.5055093652593551,40,"insurance-sales-agents"
"352010","Cooks",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3329,1416.532960142372,18001.20066085912,4897.6823936813835,0.11030400184427663,30,"cooks"
"37201X","Janitors & building cleaners",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3318,1414.190531853436,24823.7127787824,7153.376128275075,0.11207571629551948,31,"janitors-building-cleaners"
"131161","Market research analysts & marketing specialists",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3288,1407.7828956606893,72672.21532846715,17403.686879721332,0.9666205187778376,30,"market-research-analysts-marketing-specialists"
"272012","Producers & directors",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3274,1404.783316729344,97609.76206475259,38955.22982543478,1.661636330492951,34,"producers-directors"
"172051","Civil engineers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3270,1403.9242751095057,84931.37706422019,19981.297828985007,0.8481164936031385,34,"civil-engineers"
"113051","Industrial production managers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3255,1400.7011013634988,118407.87035330261,23513.876497246143,1.0026921255676313,33,"industrial-production-managers"
"259041","Teacher assistants",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3238,1397.038403705532,14941.55435453984,4063.7787589729614,0.2430576943038746,29,"teacher-assistants"
"5191XX","Miscellaneous production workers, including semiconductor processors",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3237,1396.8230942688201,44374.93265369169,16756.255449556495,0.17425027656053563,29,"miscellaneous-production-workers-including-semiconductor-processors"
"433031","Bookkeeping, accounting, & auditing clerks",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3210,1390.985108475827,36305.49968847352,9791.668425423217,0.22149829097821952,36,"bookkeeping-accounting-auditing-clerks"
"353031","Waiters & waitresses",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",3195,1387.73091517619,26710.859467918624,10127.034715548045,0.12418208936690808,25,"waiters-waitresses"
"131030","Claims adjusters, appraisers, examiners, & investigators",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3189,1386.4275807655663,61625.617121354655,11210.244835573823,0.8909012128888864,34,"claims-adjusters-appraisers-examiners-investigators"
"419099","Other Sales Workers",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3183,1385.1227364361341,140042.35940936222,55234.27000843346,0.9124376743498476,24,"other-sales-workers"
"413021","Insurance sales agents",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3182,1384.9051428444639,70225.1081081081,20187.862428241056,0.5165569355000488,34,"insurance-sales-agents"
"559830","Military, rank not specified",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3158,1379.6728080412663,63912.15706143129,13462.74459151374,1.095726211422232,34,"military-rank-not-specified"
"352010","Cooks",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3146,1377.0488726723995,17343.605530832803,5418.774788983776,0.10766907207572794,30,"cooks"
"212011","Clergy",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3145,1376.8300029785846,43104.02352941177,10688.427510125535,0.6141832414408102,26,"clergy"
"499071","Maintenance & repair workers, general",2016,"2016","11","Computer and Information Sciences and Support Services","true","true",3141,1375.9543818833115,56415.177650429796,15682.503515948454,0.47904869304949727,22,"maintenance-repair-workers-general"
"352010","Cooks",2018,"2018","11","Computer and Information Sciences and Support Services","true","true",3127,1372.884992078105,23904.13271506236,10141.113972254976,0.09552841315023611,23,"cooks"
"292050","Health practitioner support technologists & technicians",2014,"2014","11","Computer and Information Sciences and Support Services","true","true",3089,1364.5169968391713,141632.39397863386,69993.84850108458,0.42144020153821693,25,"health-practitioner-support-technologists-technicians"
"131041","Compliance officers",2017,"2017","11","Computer and Information Sciences and Support Services","true","true",3056,1357.2096571217785,104191.51145287958,35393.512095857855,0.8182377463240758,33,"compliance-officers"
"173020","Engineering technicians, except drafters",2015,"2015","11","Computer and Information Sciences and Support Services","true","true",3052,1356.3207371820413,60356.73328964613,14344.60864169148,0.668685920473335,29,"engineering-technicians-except-drafters"
