ID PUMA,PUMA,ID Year,Year,ID Workforce Status,Workforce Status,ygcpop RCA,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,CIP2,ID CIP2
"79500US2603004","Mount Clemens & Fraser Area PUMA, MI",2014,"2014","true","true",0.9502779803721824,828,702.5386246982498,80680.70048309179,36555.10424050166,7,"mount-clemens-&-fraser-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603003","Sterling Heights City PUMA, MI",2014,"2014","true","true",1.7512449252563236,1272,866.6383736269115,66532.18867924529,51455.02076085809,9,"sterling-heights-city-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2603002","Macomb County (Central) PUMA, MI",2014,"2014","true","true",0.5186525222421934,475,533.4629307081649,108676.36842105263,49021.33427338822,5,"macomb-county-(central)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602908","Oakland County (Southeast) PUMA, MI",2014,"2014","true","true",1.0614494402597818,1186,840.2577626054165,88629.16441821247,30362.703140465648,11,"oakland-county-(southeast)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US4804904","Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA, TX",2014,"2014","true","true",2.373944724490669,1696,996.991873654978,92456.39858490566,23056.182173148496,11,"mission-bend-(southwest)-cinco-ranch-&-four-corners-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2602907","Farmington & Southfield Area PUMA, MI",2014,"2014","true","true",1.9764333296900225,1745,1013.6993895889094,61947.63553008596,27049.17709654568,14,"farmington-&-southfield-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602906","Birmingham & Bloomfield Area PUMA, MI",2014,"2014","true","true",1.5142467863512787,1301,877.6973389468257,137562.96848578018,72961.18361338654,14,"birmingham-&-bloomfield-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602904","Oakland County (Central) PUMA, MI",2014,"2014","true","true",1.3798129693902295,1091,804.3864830688467,71715.74702108158,13072.864403264299,7,"oakland-county-(central)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602903","Troy & Rochester Area PUMA, MI",2014,"2014","true","true",3.0373910408414027,2803,1276.602017697145,80972.60613628256,15076.27259836875,21,"troy-&-rochester-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602800","Livingston County PUMA, MI",2014,"2014","true","true",0.7909170620878554,818,698.93914024347,72441.40709046455,25118.702702682353,9,"livingston-county-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602703","Washtenaw County (East Central, Outside Ann Arbor City) PUMA, MI",2014,"2014","true","true",1.8963532548633049,1377,900.9193243944729,75362.96296296296,30642.751060910286,13,"washtenaw-county-(east-central-outside-ann-arbor-city)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602702","Ann Arbor City Area PUMA, MI",2014,"2014","true","true",1.229482743471974,823,699.2602687028331,75070.68772782503,20935.162939388054,6,"ann-arbor-city-area-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602500","Lenawee & Hillsdale Counties PUMA, MI",2014,"2014","true","true",0.7367811767772711,522,558.5168445613444,40383.36781609195,15754.606915197022,5,"lenawee-&-hillsdale-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2602000","Calhoun & Barry Counties PUMA, MI",2014,"2014","true","true",0.7474230364945731,687,640.6962915967902,55174.20524017467,17578.04271716915,5,"calhoun-&-barry-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601900","Eaton & Clinton Counties PUMA, MI",2014,"2014","true","true",1.8300837430933545,1778,1024.1329637125552,89138.42013498313,38264.060841305836,17,"eaton-&-clinton-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601801","Ingham County (South & East) PUMA, MI",2014,"2014","true","true",0.6039211789773427,536,566.3990250868776,48897.326492537315,17292.51988591327,6,"ingham-county-(south-&-east)-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601704","Genesee (West) & Shiawassee Counties PUMA, MI",2014,"2014","true","true",0.40301174233471054,343,453.6270134771353,55210.533527696796,41824.694615309076,8,"genesee-(west)-&-shiawassee-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US2601600","Tuscola, Sanilac & Huron Counties PUMA, MI",2014,"2014","true","true",0.5220924784537415,302,425.3555946341332,72048.95695364238,48176.76503148265,6,"tuscola-sanilac-&-huron-counties-puma-mi","Computer and Information Sciences and Support Services","11"
"79500US4805202","Williamson County (Southeast)Round Rock City PUMA, TX",2014,"2014","true","true",0.7785084011449511,525,559.9820068443324,75553.12380952381,50047.19803998483,6,"williamson-county-(southeast)-round-rock-city-puma-tx","Computer and Information Sciences and Support Services","11"
"79500US2601500","Saginaw County PUMA, MI",2014,"2014","true","true",1.0178206111100214,964,757.7405663866581,65004.8122406639,22404.7104429308,6,"saginaw-county-puma-mi","Computer and Information Sciences and Support Services","11"
