ID Year,Year,ID Industry Group,Industry Group,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
2016,"2016","6111","Elementary & secondary schools","true","true",9143,52501.6178497211,8312.374805583657,2347.4992532767133,93,"Architecture and Related Services","04"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",18112,68786.87991386926,9309.712482235593,3303.9305597694115,178,"Architecture and Related Services","04"
2016,"2016","23","Construction","true","true",27498,66236.81776856499,8604.757879807414,4070.841934423299,222,"Computer and Information Sciences and Support Services","11"
2016,"2016","5413","Architectural, engineering & related services","true","true",32035,100018.42231933822,8202.950328997898,4393.789760752496,319,"Computer and Information Sciences and Support Services","11"
2016,"2016","5415","Computer Systems Design","true","true",432981,107482.20442467452,2778.459076899058,16131.00943691885,3995,"Computer and Information Sciences and Support Services","11"
2016,"2016","6111","Elementary & secondary schools","true","true",52520,54970.69512566641,3659.3251790129793,5625.468060128417,529,"Computer and Information Sciences and Support Services","11"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",88543,62037.07579368217,3946.448099802453,7303.307613974268,833,"Computer and Information Sciences and Support Services","11"
2016,"2016","23","Construction","true","true",222890,97831.3753914487,4351.395766596518,11582.089149111205,2139,"Engineering","14"
2016,"2016","5413","Architectural, engineering & related services","true","true",406552,103418.21993496527,2897.9617840411024,15632.367753032748,4128,"Engineering","14"
2016,"2016","5415","Computer Systems Design","true","true",339241,120323.00770543655,3624.187932837696,14283.073430120181,3258,"Engineering","14"
2016,"2016","6111","Elementary & secondary schools","true","true",72546,52321.01283323684,3395.4157998606725,6611.090740073086,762,"Engineering","14"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",184502,60918.00221135814,3553.962435979846,10539.003878997924,1822,"Engineering","14"
2016,"2016","23","Construction","true","true",7427,75066.59526053588,20035.318202949522,2115.7793685050233,70,"Math & Statistics","27"
2016,"2016","5413","Architectural, engineering & related services","true","true",9461,98909.30609872106,19268.86766151627,2387.9715545156023,108,"Math & Statistics","27"
2016,"2016","5415","Computer Systems Design","true","true",59131,115088.44597588405,8381.428639462536,5968.896369774469,598,"Math & Statistics","27"
2016,"2016","6111","Elementary & secondary schools","true","true",93384,55261.95638439133,2701.4960579814433,7500.1764143809805,1029,"Math & Statistics","27"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",84080,65769.01339200762,5342.46280086748,7116.975949456726,891,"Math & Statistics","27"
2016,"2016","23","Construction","true","true",16637,71213.08913866682,9041.301583823453,3166.557785539458,164,"Physical Sciences","40"
2016,"2016","5413","Architectural, engineering & related services","true","true",37038,91911.36292456396,9367.935771606584,4724.362331053897,395,"Physical Sciences","40"
2016,"2016","5415","Computer Systems Design","true","true",40990,125738.53078799708,11364.44261984238,4969.95537865768,414,"Physical Sciences","40"
2016,"2016","6111","Elementary & secondary schools","true","true",54991,56134.098052408575,4829.408653652589,5756.233747150642,582,"Physical Sciences","40"
2016,"2016","611M1","Colleges, universities & professional schools, including junior colleges","true","true",155950,68205.90685476114,4263.9933782652515,9690.23719880534,1639,"Physical Sciences","40"
2015,"2015","5415","Computer Systems Design","true","true",315813,112862.14226456796,3335.7969349921523,13781.961272979835,3009,"Engineering","14"
2015,"2015","23","Construction","true","true",25068,78268.061552577,8946.848332991389,3886.8397907445164,247,"Architecture and Related Services","04"
2015,"2015","5415","Computer Systems Design","true","true",38417,105632.60087981883,7991.955634620128,4811.475771187185,391,"Physical Sciences","40"
2015,"2015","5413","Architectural, engineering & related services","true","true",32087,91123.10334403341,8244.95430710199,4397.346859897108,358,"Physical Sciences","40"
2015,"2015","23","Construction","true","true",15224,75295.13971361009,13336.441660734794,3029.1173094626524,143,"Physical Sciences","40"
2015,"2015","611M1","Colleges, universities & professional schools, including junior colleges","true","true",78494,70881.65262313043,6025.852416763536,6876.605338724293,847,"Math & Statistics","27"
2015,"2015","6111","Elementary & secondary schools","true","true",95203,52716.98954864868,2578.5888648222863,7572.789243636373,1004,"Math & Statistics","27"
